task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
uas, full-train, 0.2, 0.1, 16386, 100000, fi, 1, 93.01
uas, full-train, 0.2, 0.1, 16386, 100000, fi, 2, 93.24
uas, full-train, 0.2, 0.1, 16386, 100000, fi, 3, 92.97
uas, full-train, 0.2, 0.1, 16386, 100000, fi, 4, 93.22
uas, full-train, 0.2, 0.1, 16386, 100000, hu, 1, 81.82
uas, full-train, 0.2, 0.1, 16386, 100000, hu, 2, 81.6
uas, full-train, 0.2, 0.1, 16386, 100000, hu, 3, 79.0
uas, full-train, 0.2, 0.1, 16386, 100000, hu, 4, 80.67
uas, full-train, 0.2, 0.1, 16386, 100000, ru, 1, 94.35
uas, full-train, 0.2, 0.1, 16386, 100000, ru, 2, 94.51
uas, full-train, 0.2, 0.1, 16386, 100000, ru, 3, 94.56
uas, full-train, 0.2, 0.1, 16386, 100000, ru, 4, 94.49
uas, full-train, 0.2, 0.4, 32770, 100000, myv, 1, 54.41
uas, full-train, 0.2, 0.4, 32770, 100000, myv, 2, 53.17
uas, full-train, 0.2, 0.4, 32770, 100000, myv, 3, 56.97
uas, full-train, 0.2, 0.4, 32770, 100000, myv, 4, 54.29
uas, full-train, 0.2, 0.4, 32770, 100000, sme, 1, 49.09
uas, full-train, 0.2, 0.4, 32770, 100000, sme, 2, 51.84
uas, full-train, 0.2, 0.4, 32770, 100000, sme, 3, 49.97
uas, full-train, 0.2, 0.4, 32770, 100000, sme, 4, 50.8
uas, full-train, 0.2, 0.4, 32770, 100000, et, 1, 84.44
uas, full-train, 0.2, 0.4, 32770, 100000, et, 2, 84.55
uas, full-train, 0.2, 0.4, 32770, 100000, et, 3, 84.25
uas, full-train, 0.2, 0.4, 32770, 100000, et, 4, 86.03
uas, full-train, 0.2, 0.4, 32770, 100000, fi, 1, 93.67
uas, full-train, 0.2, 0.4, 32770, 100000, fi, 2, 93.6
uas, full-train, 0.2, 0.4, 32770, 100000, fi, 3, 93.69
uas, full-train, 0.2, 0.4, 32770, 100000, fi, 4, 93.39
uas, full-train, 0.2, 0.4, 32770, 100000, hu, 1, 81.69
