task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
pos, few-shot, 0.2, 0.2, 32770, 100000, ru, 3, 89.16
pos, few-shot, 0.2, 0.2, 32770, 100000, ru, 4, 85.18
pos, zero-shot, 0.2, 0.2, 32770, 100000, kpv, 1, 68.01
pos, zero-shot, 0.2, 0.2, 32770, 100000, krl, 1, 85.33
pos, zero-shot, 0.2, 0.2, 32770, 100000, mdf, 1, 70.18
pos, zero-shot, 0.2, 0.2, 32770, 100000, olo, 1, 80.78
pos, zero-shot, 0.2, 0.2, 32770, 100000, sms, 1, 51.28
pos, zero-shot, 0.2, 0.2, 32770, 100000, kpv, 2, 70.07
pos, zero-shot, 0.2, 0.2, 32770, 100000, krl, 2, 85.49
pos, zero-shot, 0.2, 0.2, 32770, 100000, mdf, 2, 71.4
pos, zero-shot, 0.2, 0.2, 32770, 100000, olo, 2, 81.85
pos, zero-shot, 0.2, 0.2, 32770, 100000, sms, 2, 51.69
pos, zero-shot, 0.2, 0.2, 32770, 100000, kpv, 3, 69.06
pos, zero-shot, 0.2, 0.2, 32770, 100000, krl, 3, 84.91
pos, zero-shot, 0.2, 0.2, 32770, 100000, mdf, 3, 70.23
pos, zero-shot, 0.2, 0.2, 32770, 100000, olo, 3, 81.85
pos, zero-shot, 0.2, 0.2, 32770, 100000, sms, 3, 54.56
pos, zero-shot, 0.2, 0.2, 32770, 100000, kpv, 4, 69.24
pos, zero-shot, 0.2, 0.2, 32770, 100000, krl, 4, 84.97
pos, zero-shot, 0.2, 0.2, 32770, 100000, mdf, 4, 71.48
pos, zero-shot, 0.2, 0.2, 32770, 100000, olo, 4, 81.25
pos, zero-shot, 0.2, 0.2, 32770, 100000, sms, 4, 51.14
pos, full-train, 0.2, 0.1, 131074, 200000, myv, 1, 80.22
pos, full-train, 0.2, 0.1, 131074, 200000, myv, 2, 80.21
pos, full-train, 0.2, 0.1, 131074, 200000, myv, 3, 77.17
pos, full-train, 0.2, 0.1, 131074, 200000, myv, 4, 80.66
pos, full-train, 0.2, 0.1, 131074, 200000, sme, 1, 87.71
pos, full-train, 0.2, 0.1, 131074, 200000, sme, 2, 88.98
pos, full-train, 0.2, 0.1, 131074, 200000, sme, 3, 86.5
pos, full-train, 0.2, 0.1, 131074, 200000, sme, 4, 89.87
